athlete_id,name,birthdate,gender,position,height_cm,weight_kg
A001,Yana De Backer,2010-05-27,F,defender ,167.1,"65,5"
A002,Stan Mertens,2012-02-19,M,midfielder,158.1,"59,6"
A003,Amber Jacobs,2010-08-19,F,Defender,168.0,"63,9"
A004,Bram Wouters,2009-04-07,M,MID,177.8,"68,7"
A005,Emma Verhoeven,2010-10-18,F,goalkeeper,170.1,"61,1"
A006,Vic Simon,2014-02-07,F,Forward,148.8,"54,9"
A007,Lotte Janssens,2010-07-18,F,GK,176.3,"66,2"
A008,Juul Peeters,2012-06-27,,Defender,161.9,"51,9"
A009,Finn Bogaert,2014-11-08,M,forward,158.1,"49,3"
A010,Mathis Verhoeven,2009-08-12,M,defender ,179.2,"63,4"
A011,Liam Maes,2014-10-20,M,FWD,151.2,"51,0"
A012,Cas Jacobs,2012-09-14,M,midfielder,162.4,"55,3"
A013,Noor Michiels,2012-12-03,F,goalkeeper,157.0,"58,6"
A014,Mathis Vermeulen,2012-04-21,M,defender,,"60,0"
A015,Amber Vandamme,2013-01-03,F,midfielder,163.5,"47,1"
A016,Julie Claes,2010-07-15,F,Midfielder,163.3,"63,3"
A017,Tuur Hermans,2012-04-17,M,Defender,161.6,"52,9"
A018,Julie De Smet,2010-01-05,F,goalkeeper,177.0,"64,4"
A019,Mila Jacobs,2011-10-05,F,forward ,165.2,"54,5"
A020,Juul Michiels,2013-01-05,F,defender,152.4,"55,3"
A021,Noah Claes,2012-09-14,M,defender ,157.1,"48,5"
A022,Hanne Willems,2009-04-15,F,MID,172.8,"65,4"
A023,Bram Peeters,2009-07-04,M,midfielder,166.5,"64,1"
A024,Mila Claes,2013-08-20,F,FWD,159.3,"57,9"
A025,Roos Lemmens,2013-03-02,F,Midfielder,171.3,"50,7"
A026,Amber Verhoeven,2009-04-06,F,forward,178.8,"65,4"
A027,Fien Lemmens,2009-03-05,F,DEF,169.1,"60,9"
A028,Milan Coppens,2014-09-23,M,forward,153.3,"52,1"
A029,Louis Peeters,2010-05-18,M,defender ,174.6,"69,1"
A030,Jules Willems,2014-12-26,M,Midfielder,163.9,"57,9"
A031,Lena Vandamme,2013-05-17,F,MID,166.9,"50,4"
A032,Zoe Verhoeven,2013-12-14,F,FWD,157.5,"55,4"
A033,Finn Claes,2014-01-19,M,forward,,"47,6"
A034,Stan Simon,2012-03-24,M,forward,168.5,"51,7"
A035,Mila De Smet,2014-07-26,F,Midfielder,152.0,"55,0"
A036,Mathis Hermans,2013-12-15,M,goalkeeper,154.3,"53,1"
A037,Lotte Jacobs,2011-11-03,F,FWD,168.9,"70,1"
A038,Milan Michiels,2013-12-20,M,defender,149.7,"51,6"
A039,Emma Hermans,2014-04-23,F,defender ,141.1,"50,3"
A040,Hanne Michiels,2009-11-21,F,FWD,173.3,"62,5"
A041,Seppe Lemmens,2009-04-13,M,MID,168.8,"61,6"
A042,Bram Verhoeven,2009-02-24,,Forward,174.3,"67,4"
A043,Liam Maes,2014-10-20,M,FWD,151.2,"51,0"
